Москва, 3855
Московская область, 907
СанктПетербург, 451
Нижегородская область, 281
Свердловская область, 160
Саратовская область, 121
ХантыМансийский АО, 118
Ростовская область, 115
Красноярский край, 114
Ульяновская область, 101
Брянская область, 98
Ставропольский край, 98
Республика Башкортостан, 98
Челябинская область, 98
Калужская область, 97
Тульская область, 97
Ярославская область, 97
Чувашская Республика, 97
Краснодарский край, 95
Республика Дагестан, 91
ЯмалоНенецкий АО, 91
Рязанская область, 86
Республика Татарстан, 84
Тамбовская область, 83
Владимирская область, 81
Курская область, 81
Республика Северная Осетия, 74
Белгородская область, 73
Приморский край, 71
Новосибирская область, 70
Ленинградская область, 69
КабардиноБалкарская Республика, 69
Орловская область, 68
Волгоградская область, 65
Самарская область, 65
Пензенская область, 60
Омская область, 58
Республика Марий Эл, 54
Ивановская область, 53
Липецкая область, 53
Республика Адыгея, 51
Пермский край, 51
Архангельская область, 50
Хабаровский край, 47
Астраханская область, 45
Смоленская область, 44
Республика Саха (Якутия), 43
Алтайский край, 40
Воронежская область, 38
Республика Калмыкия, 38
Республика Ингушетия, 37
Калининградская область, 36
Оренбургская область, 35
Кировская область, 34
Вологодская область, 33
Новгородская область, 33
Тюменская область, 33
Республика Мордовия, 28
Республика Бурятия, 27
Иркутская область, 27
Тверская область, 26
Чеченская Республика, 25
Забайкальский край, 24
Республика Хакасия, 23
Республика Коми, 20
Томская область, 20
Псковская область, 19
КарачаевоЧеркесская Республика, 19
Костромская область, 17
Республика Тыва, 17
Камчатский край, 16
Удмуртская Республика, 14
Кемеровская область, 14
Республика Крым, 14
Республика Карелия, 13
Магаданская область, 12
Мурманская область, 10
Амурская область, 10
Чукотский АО, 9
Республика Алтай, 6
Еврейская АО, 5
Севастополь, 3
Ненецкий АО, 2
Курганская область, 2
Сахалинская область, 2
